[TIMESERIES]
;;Name           Date       Time       Value     
;;-------------- ---------- ---------- ----------
RainGage3        7/21/2012  15:05      1.2       
RainGage3        7/21/2012  15:10      1.2       
RainGage3        7/21/2012  15:15      0         
RainGage3        7/21/2012  15:20      1.2       
RainGage3        7/21/2012  15:25      1.2       
RainGage3        7/21/2012  15:30      4.8       
RainGage3        7/21/2012  15:35      6         
RainGage3        7/21/2012  15:40      9.6       
RainGage3        7/21/2012  15:45      10.8      
RainGage3        7/21/2012  15:50      18        
RainGage3        7/21/2012  15:55      7.2       
RainGage3        7/21/2012  16:00      4.8       
RainGage3        7/21/2012  16:05      3.6       
RainGage3        7/21/2012  16:10      6         
RainGage3        7/21/2012  16:15      3.6       
RainGage3        7/21/2012  16:20      2.4       
RainGage3        7/21/2012  16:25      3.6       
RainGage3        7/21/2012  16:30      6         
RainGage3        7/21/2012  16:35      2.4       
RainGage3        7/21/2012  16:40      3.6       
RainGage3        7/21/2012  16:45      4.8       
RainGage3        7/21/2012  16:50      4.8       
RainGage3        7/21/2012  16:55      2.4       
RainGage3        7/21/2012  17:00      1.2       
RainGage3        7/21/2012  17:05      3.6       
RainGage3        7/21/2012  17:10      8.4       
RainGage3        7/21/2012  17:15      68.4      
RainGage3        7/21/2012  17:20      67.2      
RainGage3        7/21/2012  17:25      30        
RainGage3        7/21/2012  17:30      7.2       
RainGage3        7/21/2012  17:35      7.2       
RainGage3        7/21/2012  17:40      7.2       
RainGage3        7/21/2012  17:45      18        
RainGage3        7/21/2012  17:50      36        
RainGage3        7/21/2012  17:55      40.8      
RainGage3        7/21/2012  18:00      37.2      
RainGage3        7/21/2012  18:05      26.4      
RainGage3        7/21/2012  18:10      31.2      
RainGage3        7/21/2012  18:15      16.8      
RainGage3        7/21/2012  18:20      26.4      
RainGage3        7/21/2012  18:25      38.4      
RainGage3        7/21/2012  18:30      27.6      
RainGage3        7/21/2012  18:35      20.4      
RainGage3        7/21/2012  18:40      38.4      
RainGage3        7/21/2012  18:45      88.8      
RainGage3        7/21/2012  18:50      94.8      
RainGage3        7/21/2012  18:55      70.8      
RainGage3        7/21/2012  19:00      62.4      
RainGage3        7/21/2012  19:05      52.8      
RainGage3        7/21/2012  19:10      34.8      
RainGage3        7/21/2012  19:15      21.6      
RainGage3        7/21/2012  19:20      26.4      
RainGage3        7/21/2012  19:25      9.6       
RainGage3        7/21/2012  19:30      18        
RainGage3        7/21/2012  19:35      26.4      
RainGage3        7/21/2012  19:40      34.8      
RainGage3        7/21/2012  19:45      13.2      
RainGage3        7/21/2012  19:50      10.8      
RainGage3        7/21/2012  19:55      7.2       
RainGage3        7/21/2012  20:00      8.4       
RainGage3        7/21/2012  20:05      9.6       
RainGage3        7/21/2012  20:10      7.2       
RainGage3        7/21/2012  20:15      2.4       
RainGage3        7/21/2012  20:20      2.4       
RainGage3        7/21/2012  20:25      3.6       
RainGage3        7/21/2012  20:30      4.8       
RainGage3        7/21/2012  20:35      6         
RainGage3        7/21/2012  20:40      4.8       
RainGage3        7/21/2012  20:45      3.6       
RainGage3        7/21/2012  20:50      4.8       
RainGage3        7/21/2012  20:55      8.4       
RainGage3        7/21/2012  21:00      7.2       
RainGage3        7/21/2012  21:05      4.8       
RainGage3        7/21/2012  21:10      27.6      
RainGage3        7/21/2012  21:15      40.8      
RainGage3        7/21/2012  21:20      28.8      
RainGage3        7/21/2012  21:25      24        
RainGage3        7/21/2012  21:30      26.4      
RainGage3        7/21/2012  21:35      10.8      
RainGage3        7/21/2012  21:40      8.4       
RainGage3        7/21/2012  21:45      3.6       
RainGage3        7/21/2012  21:50      6         
RainGage3        7/21/2012  21:55      12        
